t,Attendance,Contagion,Present contagion,New infections,New infections cost,Recovered,Revenues,Capacity,A1,A1 cost,A2,A2 cost,A3,A3 cost,Total A costs,Total costs
1,964,100,41,0,0,0,0,1500,0,0,0,0,0,0,0,0
2,597,100,0,0,0,0,0,1500,0,0,0,0,0,0,0,0
3,678,100,0,0,0,0,0,1500,0,0,0,0,0,0,0,0
4,706,100,0,0,0,0,0,1500,0,0,0,0,0,0,0,0
5,739,443,49,343,343,0,0,1500,0,0,0,0,0,0,0,343
6,763,548,196,105,105,0,0,1500,0,0,0,0,0,0,0,105
7,582,680,85,132,132,0,0,1500,0,0,0,0,0,0,0,132
8,619,680,115,0,0,0,0,1500,0,0,0,0,0,0,0,0
9,586,680,39,0,0,0,0,1500,0,0,0,0,0,0,0,0
10,605,1051,234,371,371,0,0,825.0000000000001,1,660.0000000000001,0,0,0,0,660.0000000000001,1031.0
11,715,1017,609,66,66,100,100,825.0000000000001,1,660.0000000000001,0,0,0,0,660.0000000000001,726.0000000000001
12,466,1056,385,39,39,0,0,825.0000000000001,1,660.0000000000001,0,0,0,0,660.0000000000001,699.0000000000001
13,460,1140,376,84,84,0,0,825.0000000000001,1,660.0000000000001,0,0,0,0,660.0000000000001,744.0000000000001
14,470,1200,410,60,60,0,0,825.0000000000001,1,660.0000000000001,0,0,0,0,660.0000000000001,720.0000000000001
15,795,1240,755,40,40,0,0,825.0000000000001,1,660.0000000000001,0,0,0,0,660.0000000000001,700.0000000000001
16,403,897,145,0,0,343,343,1500,0,0,1,900.0,1,5000,5900.0,5900.0
17,415,792,75,0,0,105,105,1500,0,0,1,900.0,1,0,900.0,900.0
18,439,660,0,0,0,132,132,1500,0,0,1,900.0,1,0,900.0,900.0
19,811,660,355,0,0,0,0,1500,0,0,1,900.0,1,0,900.0,900.0
20,869,660,412,0,0,0,0,1500,0,0,1,900.0,1,0,900.0,900.0
21,879,289,90,0,0,371,371,1500,0,0,1,900.0,1,0,900.0,900.0
22,1004,223,178,0,0,66,66,1500,0,0,1,900.0,0,0,900.0,900.0
23,779,184,119,0,0,39,39,1500,0,0,1,900.0,0,0,900.0,900.0
24,995,100,63,0,0,84,84,1500,0,0,1,900.0,0,0,900.0,900.0
25,456,40,17,0,0,60,60,1500,0,0,1,900.0,0,0,900.0,900.0
26,928,0,0,0,0,40,40,1500,0,0,1,900.0,0,0,900.0,900.0
27,663,0,0,0,0,0,0,1500,0,0,1,900.0,0,0,900.0,900.0
28,883,0,0,0,0,0,0,1500,0,0,0,0,0,0,0,0
29,610,0,0,0,0,0,0,1500,0,0,0,0,0,0,0,0
30,836,0,0,0,0,0,0,1500,0,0,0,0,0,0,0,0
31,793,0,0,0,0,0,0,1500,0,0,0,0,0,0,0,0
32,631,0,0,0,0,0,0,1500,0,0,0,0,0,0,0,0
33,868,0,0,0,0,0,0,1500,0,0,0,0,0,0,0,0
34,580,0,0,0,0,0,0,1500,0,0,0,0,0,0,0,0
35,720,0,0,0,0,0,0,1500,0,0,0,0,0,0,0,0
36,829,0,0,0,0,0,0,1500,0,0,0,0,0,0,0,0
37,550,0,0,0,0,0,0,1500,0,0,0,0,0,0,0,0
38,748,0,0,0,0,0,0,1500,0,0,0,0,0,0,0,0
39,822,0,0,0,0,0,0,1500,0,0,0,0,0,0,0,0
40,556,0,0,0,0,0,0,1500,0,0,0,0,0,0,0,0
41,724,0,0,0,0,0,0,1500,0,0,0,0,0,0,0,0
42,811,0,0,0,0,0,0,1500,0,0,0,0,0,0,0,0
43,601,0,0,0,0,0,0,1500,0,0,0,0,0,0,0,0
44,748,0,0,0,0,0,0,1500,0,0,0,0,0,0,0,0
45,805,0,0,0,0,0,0,1500,0,0,0,0,0,0,0,0
46,619,0,0,0,0,0,0,1500,0,0,0,0,0,0,0,0
47,752,0,0,0,0,0,0,1500,0,0,0,0,0,0,0,0
48,805,0,0,0,0,0,0,1500,0,0,0,0,0,0,0,0
49,632,0,0,0,0,0,0,1500,0,0,0,0,0,0,0,0
50,769,0,0,0,0,0,0,1500,0,0,0,0,0,0,0,0
51,788,0,0,0,0,0,0,1500,0,0,0,0,0,0,0,0
52,629,0,0,0,0,0,0,1500,0,0,0,0,0,0,0,0
53,779,0,0,0,0,0,0,1500,0,0,0,0,0,0,0,0
54,737,0,0,0,0,0,0,1500,0,0,0,0,0,0,0,0
55,806,0,0,0,0,0,0,1500,0,0,0,0,0,0,0,0
56,664,0,0,0,0,0,0,1500,0,0,0,0,0,0,0,0
57,722,0,0,0,0,0,0,1500,0,0,0,0,0,0,0,0
58,836,0,0,0,0,0,0,1500,0,0,0,0,0,0,0,0
59,615,0,0,0,0,0,0,1500,0,0,0,0,0,0,0,0
60,686,0,0,0,0,0,0,1500,0,0,0,0,0,0,0,0
61,793,0,0,0,0,0,0,1500,0,0,0,0,0,0,0,0
62,682,0,0,0,0,0,0,1500,0,0,0,0,0,0,0,0
63,726,0,0,0,0,0,0,1500,0,0,0,0,0,0,0,0
64,819,0,0,0,0,0,0,1500,0,0,0,0,0,0,0,0
65,632,0,0,0,0,0,0,1500,0,0,0,0,0,0,0,0
66,711,0,0,0,0,0,0,1500,0,0,0,0,0,0,0,0
67,789,0,0,0,0,0,0,1500,0,0,0,0,0,0,0,0
68,694,0,0,0,0,0,0,1500,0,0,0,0,0,0,0,0
69,747,0,0,0,0,0,0,1500,0,0,0,0,0,0,0,0
70,809,0,0,0,0,0,0,1500,0,0,0,0,0,0,0,0
71,654,0,0,0,0,0,0,1500,0,0,0,0,0,0,0,0
72,724,0,0,0,0,0,0,1500,0,0,0,0,0,0,0,0
73,819,0,0,0,0,0,0,1500,0,0,0,0,0,0,0,0
74,667,0,0,0,0,0,0,1500,0,0,0,0,0,0,0,0
75,712,0,0,0,0,0,0,1500,0,0,0,0,0,0,0,0
76,787,0,0,0,0,0,0,1500,0,0,0,0,0,0,0,0
77,691,0,0,0,0,0,0,1500,0,0,0,0,0,0,0,0
78,749,0,0,0,0,0,0,1500,0,0,0,0,0,0,0,0
79,805,0,0,0,0,0,0,1500,0,0,0,0,0,0,0,0
80,675,0,0,0,0,0,0,1500,0,0,0,0,0,0,0,0
81,723,0,0,0,0,0,0,1500,0,0,0,0,0,0,0,0
82,819,0,0,0,0,0,0,1500,0,0,0,0,0,0,0,0
83,655,0,0,0,0,0,0,1500,0,0,0,0,0,0,0,0
84,711,0,0,0,0,0,0,1500,0,0,0,0,0,0,0,0
85,798,0,0,0,0,0,0,1500,0,0,0,0,0,0,0,0
86,701,0,0,0,0,0,0,1500,0,0,0,0,0,0,0,0
87,714,0,0,0,0,0,0,1500,0,0,0,0,0,0,0,0
88,812,0,0,0,0,0,0,1500,0,0,0,0,0,0,0,0
