Epoch;Attendance;Contagion;Present contagion;A1;A2;A3;Action on random;Action on random zero;Action on max;Actions;A1 cost;A2 cost;A3 cost;Action cost;New infections;New infected cost;Total cost;Total revenues;Epoch txt
1;57971;15179;3928;30;15;15;0;2;0;2;19199,999999999996;4799,999999999999;50000;74000,0;1412;211800;285800,0;0;"
"
2;70785;16385;5100;0;15;30;0;2;0;2;0;24000;50000;74000;1558;233700;307700;0;-
3;65094;38809;15591;15;30;15;0;3;0;3;9599,999999999998;28800,0;50000;88400,0;3802;570300;658700,0;0;-
4;64137;16781;4337;15;15;15;0;1;0;1;9599,999999999998;4799,999999999999;50000;64400,0;1576;236400;300800,0;0;-
5;70277;17009;5148;0;15;15;0;1;0;1;0;24000;50000;74000;1610;241500;315500;0;-
6;70883;27231;10571;0;15;30;0;3;0;3;0;24000;50000;74000;2636;395400;469400;0;-
7;64381;17720;4975;15;30;0;0;2;0;2;9599,999999999998;28800,0;0;38400,0;1661;249150;287550,0;0;-
8;51201;23159;6653;45;0;15;0;3;0;3;28799,999999999996;0;50000;78800,0;2207;331050;409850,0;0;-
9;71782;20274;6938;0;30;15;0;2;0;2;0;48000;50000;98000;1948;292200;390200;0; 
10;71324;19815;6575;0;15;15;1;1;0;2;0;24000;50000;74000;1900;285000;359000;0;E
11;70434;15654;4779;0;15;15;1;0;0;1;0;24000;50000;74000;1479;221850;295850;0;p
12;64502;15729;4524;15;30;15;2;0;0;2;9599,999999999998;28800,0;50000;88400,0;1466;219900;308300,0;0;o
13;64427;17293;5067;15;0;30;1;1;0;2;9599,999999999998;0;50000;59600,0;1640;246000;305600,0;0;c
14;64608;24172;7302;15;0;30;2;1;0;3;9599,999999999998;0;50000;59600,0;2308;346200;405800,0;0;h
15;64103;15755;4026;15;15;15;1;0;0;1;9599,999999999998;4799,999999999999;50000;64400,0;1469;220350;284750,0;0;s
16;63929;16142;4452;15;30;0;1;0;1;2;9599,999999999998;28800,0;0;38400,0;1512;226800;265200,0;0;:
17;57668;23026;7952;30;45;0;2;2;0;4;19199,999999999996;52800,0;0;72000,0;2201;330150;402150,0;0; 
18;57148;66923;27468;30;0;15;1;4;0;5;19199,999999999996;0;50000;69200,0;6596;989400;1058600,0;0;2
19;64205;18128;5496;15;15;30;1;1;0;2;9599,999999999998;4799,999999999999;50000;64400,0;1724;258600;323000,0;0;0
20;64321;17714;4890;15;15;0;2;0;0;2;9599,999999999998;4799,999999999999;0;14399,999999999998;1661;249150;263550,0;0;0
21;58011;16751;4689;30;15;0;0;0;2;2;19199,999999999996;4799,999999999999;0;23999,999999999996;1571;235650;259650,0;0;,
22;58172;16489;4299;30;15;30;2;0;0;2;19199,999999999996;4799,999999999999;50000;74000,0;1539;230850;304850,0;0; 
23;57866;18050;5160;30;30;0;1;0;1;2;19199,999999999996;9599,999999999998;0;28799,999999999996;1700;255000;283800,0;0;S
24;64728;23903;7238;15;0;15;3;0;0;3;9599,999999999998;0;50000;59600,0;2288;343200;402800,0;0;t
25;64249;15682;4027;15;0;15;1;0;0;1;9599,999999999998;0;50000;59600,0;1465;219750;279350,0;0;a
26;65114;30354;11099;15;15;15;1;1;0;2;9599,999999999998;4799,999999999999;50000;64400,0;2936;440400;504800,0;0;r
27;64752;17621;5137;15;15;30;2;0;0;2;9599,999999999998;4799,999999999999;50000;64400,0;1678;251700;316100,0;0;t
28;64693;15808;4135;15;15;15;1;0;0;1;9599,999999999998;4799,999999999999;50000;64400,0;1476;221400;285800,0;0;i
29;57656;16720;4328;30;15;0;1;0;1;2;19199,999999999996;4799,999999999999;0;23999,999999999996;1566;234900;258900,0;0;n
30;71149;16959;5191;0;15;15;1;0;0;1;0;24000;50000;74000;1610;241500;315500;0;g
31;65015;30942;11882;15;15;15;2;1;0;3;9599,999999999998;24000;50000;83600,0;3010;451500;535100,0;0; 
32;64007;19236;5374;15;30;0;1;0;1;2;9599,999999999998;28800,0;0;38400,0;1818;272700;311100,0;0;E
33;65028;15342;3981;15;0;30;1;0;1;2;9599,999999999998;0;50000;59600,0;1428;214200;273800,0;0;p
34;51408;23044;7357;45;30;30;1;1;2;4;28799,999999999996;28800,0;50000;107600,0;2198;329700;437300,0;0;s
35;64156;16382;4283;15;15;15;1;0;0;1;9599,999999999998;4799,999999999999;50000;64400,0;1530;229500;293900,0;0;i
