Epoch,Attendance,Contagion,Present contagion,A1,A2,A3,Action on random,Action on random zero,Action on max,Actions,A1 cost,A2 cost,A3 cost,Action cost,New infections,New infected cost,Total cost,Total revenues,Epoch txt
1,68397,19304,5634,30,15,15,0,2,0,2,38400.0,76800.0,100000,215200.0,1715,257250,472450.0,0,"
"
2,70088,17891,5341,15,15,15,0,1,0,1,19200.0,76800.0,100000,196000.0,1581,237150,433150.0,0,-
3,64955,50734,21384,60,15,30,0,5,0,5,76800.0,76800.0,100000,253600.0,4662,699300,952900.0,0,-
4,69262,45236,18298,15,30,15,0,3,0,3,19200.0,268800.0,100000,388000.0,4146,621900,1009900.0,0,-
5,70540,24712,9102,15,15,30,0,3,0,3,19200.0,192000,100000,311200.0,2227,334050,645250.0,0,-
6,70215,18008,5394,15,15,15,0,2,0,2,19200.0,192000,100000,311200.0,1593,238950,550150.0,0,-
7,69839,18731,5800,15,15,30,0,2,0,2,19200.0,76800.0,100000,196000.0,1668,250200,446200.0,0,-
8,71476,16102,5539,0,15,15,0,1,0,1,0,192000,100000,292000,1424,213600,505600,0,-
9,70200,13802,4546,15,15,15,0,1,0,1,19200.0,76800.0,100000,196000.0,1204,180600,376600.0,0, 
10,68481,41410,18551,30,15,15,0,3,0,3,38400.0,76800.0,100000,215200.0,3788,568200,783400.0,0,E
11,70319,42583,17598,15,45,30,0,5,0,5,19200.0,460800.0,100000,580000.0,3906,585900,1165900.0,0,p
12,71599,23169,8581,0,30,15,1,1,0,2,0,384000,100000,484000,2081,312150,796150,0,o
13,70375,23455,9118,15,30,15,1,1,0,2,19200.0,268800.0,100000,388000.0,2104,315600,703600.0,0,c
14,68462,33634,11520,30,15,30,1,2,0,3,38400.0,192000,100000,330400.0,3055,458250,788650.0,0,h
15,70614,16587,5639,15,0,30,1,1,0,2,19200.0,0,100000,119200.0,1467,220050,339250.0,0,s
16,70396,16390,5528,15,15,15,1,0,1,2,19200.0,76800.0,100000,196000.0,1446,216900,412900.0,0,:
17,71690,15963,5503,0,15,15,0,1,0,1,0,192000,100000,292000,1412,211800,503800,0, 
18,69108,37156,17008,30,30,15,2,1,0,3,38400.0,153600.0,100000,292000.0,3390,508500,800500.0,0,2
19,68466,15468,5103,30,0,30,0,0,2,2,38400.0,0,100000,138400.0,1358,203700,342100.0,0,0
20,70134,24508,8978,15,30,30,2,1,0,3,19200.0,268800.0,100000,388000.0,2206,330900,718900.0,0,0
21,70238,28900,10980,15,15,15,1,1,0,2,19200.0,192000,100000,311200.0,2613,391950,703150.0,0,","
22,70648,36343,16076,15,15,30,2,2,0,4,19200.0,192000,100000,311200.0,3320,498000,809200.0,0, 
23,70266,31550,13102,15,45,15,3,0,0,3,19200.0,460800.0,100000,580000.0,2867,430050,1010050.0,0,S
24,70142,16432,5060,15,15,15,0,0,1,1,19200.0,76800.0,100000,196000.0,1447,217050,413050.0,0,t
25,70639,22135,8170,15,30,15,1,0,1,2,19200.0,268800.0,100000,388000.0,1981,297150,685150.0,0,a
26,71036,19638,6163,0,15,30,1,0,1,2,0,192000,100000,292000,1754,263100,555100,0,r
27,70245,17367,5718,15,0,15,0,0,2,2,19200.0,0,100000,119200.0,1539,230850,350050.0,0,t
28,71017,16319,5357,0,15,15,1,0,0,1,0,192000,100000,292000,1440,216000,508000,0,i
29,69801,17268,5413,15,15,30,1,0,1,2,19200.0,192000,100000,311200.0,1523,228450,539650.0,0,n
30,66693,75480,33865,49,30,4,2,3,1,6,62400.0,384000,100000,546400.0,7221,1083150,1629550.0,0,g
31,68275,25781,9132,30,15,30,1,0,2,3,38400.0,76800.0,100000,215200.0,2321,348150,563350.0,0, 
32,67912,18589,5503,30,0,30,0,0,2,2,38400.0,0,100000,138400.0,1648,247200,385600.0,0,E
33,68779,24036,9206,30,30,15,1,0,2,3,38400.0,268800.0,100000,407200.0,2164,324600,731800.0,0,p
34,71459,25408,9226,0,15,15,2,0,1,3,0,192000,100000,292000,2292,343800,635800,0,s
35,70911,18261,5954,0,0,15,1,0,1,2,0,0,100000,100000,1620,243000,343000,0,i
36,70599,14318,4633,15,15,15,1,0,0,1,19200.0,76800.0,100000,196000.0,1251,187650,383650.0,0,l
37,68997,33686,13053,30,15,30,1,0,2,3,38400.0,76800.0,100000,215200.0,3062,459300,674500.0,0,o
38,66280,65433,26344,45,15,30,2,0,3,5,57600.0,76800.0,100000,234400.0,6030,904500,1138900.0,0,n
39,69867,16964,5419,15,0,30,1,0,1,2,19200.0,0,100000,119200.0,1501,225150,344350.0,0,:
40,70570,15460,4930,15,15,15,1,0,0,1,19200.0,76800.0,100000,196000.0,1356,203400,399400.0,0, 
41,70146,17814,5365,15,15,15,0,0,1,1,19200.0,76800.0,100000,196000.0,1579,236850,432850.0,0,0
42,70249,37578,16558,15,30,15,2,0,1,3,19200.0,268800.0,100000,388000.0,3430,514500,902500.0,0,.
43,68292,15786,5147,30,0,30,0,0,2,2,38400.0,0,100000,138400.0,1385,207750,346150.0,0,2
44,70339,16164,5415,15,0,30,0,0,2,2,19200.0,0,100000,119200.0,1425,213750,332950.0,0, 
45,67344,39267,15128,45,15,30,2,0,2,4,57600.0,192000,100000,349600.0,3580,537000,886600.0,0,-
46,70639,16603,5561,15,0,15,1,0,1,2,19200.0,0,100000,119200.0,1465,219750,338950.0,0,-
47,66219,84087,37980,34,15,4,1,4,1,6,43200.0,76800.0,100000,220000.0,8020,1203000,1423000.0,0,-
48,70313,17819,5885,15,0,30,1,0,1,2,19200.0,0,100000,119200.0,1580,237000,356200.0,0,-
49,69009,31454,12549,30,45,30,3,1,0,4,38400.0,460800.0,100000,599200.0,2860,429000,1028200.0,0,-
50,70250,16534,5448,15,15,15,1,0,1,2,19200.0,76800.0,100000,196000.0,1460,219000,415000.0,0,-
51,68544,16057,5136,30,15,15,1,0,1,2,38400.0,76800.0,100000,215200.0,1414,212100,427300.0,0,-
52,71065,19400,6138,0,15,15,0,0,1,1,0,192000,100000,292000,1727,259050,551050,0,-
53,70235,17631,5799,15,0,30,0,0,2,2,19200.0,0,100000,119200.0,1565,234750,353950.0,0,-
54,67415,28141,11520,30,0,30,1,1,2,4,38400.0,0,100000,138400.0,2550,382500,520900.0,0,-
55,71414,15845,5367,0,15,15,1,0,0,1,0,192000,100000,292000,1395,209250,501250,0,-
56,70442,17710,6090,15,0,30,1,0,1,2,19200.0,0,100000,119200.0,1569,235350,354550.0,0,-
57,70141,16051,4928,15,15,15,1,0,0,1,19200.0,76800.0,100000,196000.0,1412,211800,407800.0,0,-
58,71090,16663,5583,0,15,15,1,0,0,1,0,192000,100000,292000,1475,221250,513250,0,-
59,71147,14716,5144,0,0,30,1,1,0,2,0,0,100000,100000,1291,193650,293650,0,-
60,68464,38878,15552,30,30,15,2,1,0,3,38400.0,268800.0,100000,407200.0,3552,532800,940000.0,0,-
61,68592,25204,9334,30,15,30,2,0,1,3,38400.0,76800.0,100000,215200.0,2269,340350,555550.0,0,-
62,71771,17201,6014,0,15,30,1,0,2,3,0,192000,100000,292000,1525,228750,520750,0,-
63,70481,14366,4710,15,15,15,1,0,0,1,19200.0,76800.0,100000,196000.0,1252,187800,383800.0,0,-
64,68156,15809,5183,30,0,30,1,0,1,2,38400.0,0,100000,138400.0,1388,208200,346600.0,0,-
65,69503,17535,5213,15,0,30,0,0,2,2,19200.0,0,100000,119200.0,1550,232500,351700.0,0,-
66,70729,16910,5906,15,0,15,1,0,1,2,19200.0,0,100000,119200.0,1493,223950,343150.0,0,-
67,71174,17242,5545,0,0,30,0,0,2,2,0,0,100000,100000,1528,229200,329200,0,-
68,71199,17714,5729,0,0,30,0,0,2,2,0,0,100000,100000,1568,235200,335200,0,-
