Epoch;Attendance;Contagion;Present contagion;A1;A2;A3;Action on random;Action on random zero;Action on max;Actions;A1 cost;A2 cost;A3 cost;Action cost;New infections;New infected cost;Total cost;Total revenues;Epoch txt
1;50270;49356;15633;45;15;45;0;5;0;5;28799,999999999996;95999,99999999999;50000;174800,0;4396;659400;834200,0;0;"
"
2;71312;12847;3762;0;15;15;0;1;0;1;0;480000;50000;530000;1077;161550;691550;0;-
3;65229;14596;3339;15;15;15;0;1;0;1;9599,999999999998;95999,99999999999;50000;155600,0;1236;185400;341000,0;0;-
4;71608;14156;5336;0;15;0;0;1;0;1;0;480000;0;480000;1196;179400;659400;0;-
5;65291;17082;4271;15;15;15;0;2;0;2;9599,999999999998;480000;50000;539600,0;1462;219300;758900,0;0;-
6;64601;20910;6977;15;15;0;0;2;0;2;9599,999999999998;480000;0;489600,0;1810;271500;761100,0;0;-
7;64994;13188;3322;15;15;0;0;1;0;1;9599,999999999998;95999,99999999999;0;105599,99999999999;1108;166200;271800,0;0;-
8;57206;33318;9645;30;15;30;0;3;0;3;19199,999999999996;95999,99999999999;50000;165200,0;2938;440700;605900,0;0;-
9;58491;63271;19911;15;15;45;1;4;0;5;9599,999999999998;480000;50000;539600,0;5661;849150;1388750,0;0; 
10;65293;13342;2902;15;15;15;1;0;0;1;9599,999999999998;95999,99999999999;50000;155600,0;1122;168300;323900,0;0;E
11;58042;17863;4488;30;15;15;1;1;0;2;19199,999999999996;95999,99999999999;50000;165200,0;1533;229950;395150,0;0;p
12;63814;25178;6647;15;15;15;1;1;0;2;9599,999999999998;95999,99999999999;50000;155600,0;2198;329700;485300,0;0;o
13;64598;12759;3150;15;15;0;0;0;1;1;9599,999999999998;95999,99999999999;0;105599,99999999999;1069;160350;265950,0;0;c
14;71311;30029;11899;0;15;15;1;1;0;2;0;480000;50000;530000;2639;395850;925850;0;h
15;58557;21911;6564;30;15;0;0;1;1;2;19199,999999999996;95999,99999999999;0;115199,99999999999;1901;285150;400350,0;0;s
16;64665;13001;3139;15;15;0;1;0;0;1;9599,999999999998;95999,99999999999;0;105599,99999999999;1091;163650;269250,0;0;:
17;65141;38444;13772;15;15;15;1;2;0;3;9599,999999999998;480000;50000;539600,0;3404;510600;1050200,0;0; 
18;63811;40347;14510;15;15;15;1;1;1;3;9599,999999999998;480000;50000;539600,0;3577;536550;1076150,0;0;2
19;56133;67220;20960;30;15;45;1;4;0;5;19199,999999999996;95999,99999999999;50000;165200,0;6020;903000;1068200,0;0;0
20;71154;14035;4190;0;15;15;1;0;0;1;0;480000;50000;530000;1185;177750;707750;0;0
21;71238;13650;4030;0;15;15;1;0;0;1;0;480000;50000;530000;1150;172500;702500;0;,
22;69768;25420;7433;0;15;30;1;1;0;2;0;480000;50000;530000;2220;333000;863000;0; 
23;71878;12880;4854;0;15;0;1;0;0;1;0;480000;0;480000;1080;162000;642000;0;S
24;71424;30722;12992;0;15;0;1;1;0;2;0;480000;0;480000;2702;405300;885300;0;t
25;65249;17841;4195;15;15;30;0;1;1;2;9599,999999999998;480000;50000;539600,0;1531;229650;769250,0;0;a
26;64809;13837;3422;15;15;0;1;0;0;1;9599,999999999998;95999,99999999999;0;105599,99999999999;1167;175050;280650,0;0;r
27;52184;39808;12854;45;15;30;1;3;0;4;28799,999999999996;95999,99999999999;50000;174800,0;3528;529200;704000,0;0;t
